Tempo(ms);Distancia(mm)
0;150
505;62
1008;64
1513;63
2017;63
2522;63
3027;189
3532;62
4037;62
4542;64
5047;64
5552;63
6053;128
6558;62
7063;64
7569;63
8074;65
8579;64
9084;111
9589;64
10094;63
10598;62
11104;62
11609;65
12114;216
12619;64
13124;62
13630;65
14135;64
14636;63
15137;132
15639;64
16141;65
16646;63
17151;63
17657;64
18162;133
18667;63
19172;62
19677;63
20180;63
20685;63
21190;151
21696;65
22201;64
22703;63
23208;63
23713;62
24213;123
24719;63
25224;63
25729;62
26232;65
26737;65
27243;190
27748;62
28253;63
28758;65
29263;64
29768;62
30273;163
30778;64
31280;62
31785;64
32289;62
32790;65
33290;183
33795;63
34300;62
34802;64
35307;62
35808;63
36313;111
36818;63
37323;64
37827;65
38330;65
38835;64
39341;100
39846;63
40351;62
40856;62
41357;63
41862;65
42367;156
42871;65
43376;63
43881;62
44382;65
44887;62
45392;202
45898;62
46403;62
46908;62
47413;63
47918;63
48424;208
48927;65
49428;63
49933;64
50438;65
50943;64
51448;140
51950;62
52455;64
52960;65
53465;65
53971;64
54476;212
54981;65
55486;64
55991;64
56492;65
56997;62
57499;117
58004;64
58509;64
59014;63
59519;62
60024;65
60530;116
61035;64
61540;65
62045;62
62550;64
63056;62
63561;193
64066;65
64571;63
65077;64
65580;64
66086;64
66591;202
67093;63
67599;65
68104;65
68609;65
69114;62
69619;151
70125;65
70630;62
71135;63
71636;64
72137;62
72642;122
73147;63
73652;62
74158;63
74662;63
75163;64
75666;120
76172;65
76677;62
77182;63
77687;64
78192;65
78698;118
79201;64
79703;63
80209;62
80711;64
81216;65
81721;192
82226;63
82729;65
83234;62
83739;62
84242;63
84747;118
85252;63
85757;62
86263;64
86768;62
87270;62
87775;109
88279;62
88784;63
89289;64
89794;64
90299;63
90804;172
91309;64
91815;64
92317;63
92820;63
93325;64
93828;214
94333;63
94838;64
95343;65
95848;62
96354;62
96856;135
97361;62
97866;63
98371;65
98877;65
99382;62
99887;155
100392;65
100892;65
101395;65
101900;65
102406;62
102907;208
103412;63
103917;65
104422;65
104927;64
105432;62
105937;202
106441;65
106944;65
107449;62
107955;63
108459;64
108964;200
109470;64
109975;62
110480;65
110985;62
111490;63
111996;211
112500;63
113005;62
113507;62
114011;64
114513;62
115019;139
115523;65
116026;65
116532;62
117034;64
117539;64
118044;157
118549;64
119054;62
119559;62
120065;62
120570;65
121075;190
121580;62
122086;63
122586;64
123091;65
123592;62
124097;114
124603;63
125106;64
125612;65
126113;64
126618;65
127122;191
127630;64
128135;63
128637;64
129139;62
129640;63
130145;104
130650;65
131155;64
131660;64
132165;63
132671;63
133176;123
133681;62
134186;64
134691;63
135197;65
135702;63
136207;110
136712;62
137217;65
137722;62
138227;62
138730;63
139236;114
139741;63
140246;63
140751;63
141256;64
141761;62
142262;158
142762;65
143267;64
143773;64
144275;63
144780;62
145285;128
145788;64
146293;63
146798;64
147299;62
147804;63
148309;217
148815;63
149320;64
149825;62
150330;65
150835;64
151336;199
151837;62
152342;64
152847;65
153353;64
153858;65
154363;206
154868;65
155373;63
155878;62
156384;65
156889;63
157394;144
157899;65
158405;64
158910;64
159415;64
